reciter,surah,ayah,start_time_ms,end_time_ms,duration_sec,output_file
maher-al-mu-aiqly-murattal-hafs-948,84,16,2280,3400,1.12,maher_al_mu_aiqly_murattal_hafs_948_s084a016_qalqalah.wav
maher-al-mu-aiqly-murattal-hafs-948,84,17,1280,1800,0.52,maher_al_mu_aiqly_murattal_hafs_948_s084a017_qalqalah.wav
maher-al-mu-aiqly-murattal-hafs-948,84,18,1160,1880,0.72,maher_al_mu_aiqly_murattal_hafs_948_s084a018_qalqalah.wav
maher-al-mu-aiqly-murattal-hafs-948,84,19,3360,4440,1.08,maher_al_mu_aiqly_murattal_hafs_948_s084a019_qalqalah.wav
mahmoud-khalil-al-husary-mujawwad-hafs-956,113,1,7160,9520,2.36,mahmoud_khalil_al_husary_mujawwad_hafs_956_s113a001_qalqalah.wav
mahmoud-khalil-al-husary-mujawwad-hafs-956,113,2,6130,6230,0.1,mahmoud_khalil_al_husary_mujawwad_hafs_956_s113a002_qalqalah.wav
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,16,9080,11920,2.84,mahmoud_khalil_al_husary_mujawwad_hafs_956_s084a016_qalqalah.wav
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,17,5160,6240,1.08,mahmoud_khalil_al_husary_mujawwad_hafs_956_s084a017_qalqalah.wav
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,18,4640,6120,1.48,mahmoud_khalil_al_husary_mujawwad_hafs_956_s084a018_qalqalah.wav
mahmoud-khalil-al-husary-mujawwad-hafs-956,84,19,7720,9720,2.0,mahmoud_khalil_al_husary_mujawwad_hafs_956_s084a019_qalqalah.wav
mahmoud-khalil-al-husary-murattal-hafs-955,113,1,3240,6360,3.12,mahmoud_khalil_al_husary_murattal_hafs_955_s113a001_qalqalah.wav
mahmoud-khalil-al-husary-murattal-hafs-955,113,2,2570,2670,0.1,mahmoud_khalil_al_husary_murattal_hafs_955_s113a002_qalqalah.wav
mahmoud-khalil-al-husary-murattal-hafs-955,84,16,3360,7080,3.72,mahmoud_khalil_al_husary_murattal_hafs_955_s084a016_qalqalah.wav
mahmoud-khalil-al-husary-murattal-hafs-955,84,17,2640,3480,0.84,mahmoud_khalil_al_husary_murattal_hafs_955_s084a017_qalqalah.wav
mahmoud-khalil-al-husary-murattal-hafs-955,84,18,2160,3320,1.16,mahmoud_khalil_al_husary_murattal_hafs_955_s084a018_qalqalah.wav
mahmoud-khalil-al-husary-murattal-hafs-955,84,19,4640,9240,4.6,mahmoud_khalil_al_husary_murattal_hafs_955_s084a019_qalqalah.wav
mishari-rashid-al-afasy-murattal-hafs-953,113,1,2240,3520,1.28,mishari_rashid_al_afasy_murattal_hafs_953_s113a001_qalqalah.wav
mishari-rashid-al-afasy-murattal-hafs-953,113,2,2330,2430,0.1,mishari_rashid_al_afasy_murattal_hafs_953_s113a002_qalqalah.wav
mishari-rashid-al-afasy-murattal-hafs-953,84,16,2840,4400,1.56,mishari_rashid_al_afasy_murattal_hafs_953_s084a016_qalqalah.wav
mishari-rashid-al-afasy-murattal-hafs-953,84,17,1600,2240,0.64,mishari_rashid_al_afasy_murattal_hafs_953_s084a017_qalqalah.wav
mishari-rashid-al-afasy-murattal-hafs-953,84,18,1400,2200,0.8,mishari_rashid_al_afasy_murattal_hafs_953_s084a018_qalqalah.wav
mishari-rashid-al-afasy-murattal-hafs-953,84,19,4160,5480,1.32,mishari_rashid_al_afasy_murattal_hafs_953_s084a019_qalqalah.wav
mohamed-al-tablawi-recitation-murattal-hafs-73,113,1,3400,4820,1.42,mohamed_al_tablawi_recitation_murattal_hafs_73_s113a001_qalqalah.wav
mohamed-al-tablawi-recitation-murattal-hafs-73,113,2,3930,4860,0.93,mohamed_al_tablawi_recitation_murattal_hafs_73_s113a002_qalqalah.wav
mohamed-al-tablawi-recitation-murattal-hafs-73,84,16,3410,4480,1.07,mohamed_al_tablawi_recitation_murattal_hafs_73_s084a016_qalqalah.wav
mohamed-al-tablawi-recitation-murattal-hafs-73,84,17,2710,3440,0.73,mohamed_al_tablawi_recitation_murattal_hafs_73_s084a017_qalqalah.wav
mohamed-al-tablawi-recitation-murattal-hafs-73,84,18,2450,3460,1.01,mohamed_al_tablawi_recitation_murattal_hafs_73_s084a018_qalqalah.wav
mohamed-al-tablawi-recitation-murattal-hafs-73,84,19,5670,6670,1.0,mohamed_al_tablawi_recitation_murattal_hafs_73_s084a019_qalqalah.wav
muhammad-siddiq-al-minshawi-murattal-hafs-959,113,1,2800,4120,1.32,muhammad_siddiq_al_minshawi_murattal_hafs_959_s113a001_qalqalah.wav
muhammad-siddiq-al-minshawi-murattal-hafs-959,113,2,2210,2310,0.1,muhammad_siddiq_al_minshawi_murattal_hafs_959_s113a002_qalqalah.wav
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,16,3720,5600,1.88,muhammad_siddiq_al_minshawi_murattal_hafs_959_s084a016_qalqalah.wav
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,17,2440,3280,0.84,muhammad_siddiq_al_minshawi_murattal_hafs_959_s084a017_qalqalah.wav
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,18,2040,3160,1.12,muhammad_siddiq_al_minshawi_murattal_hafs_959_s084a018_qalqalah.wav
muhammad-siddiq-al-minshawi-murattal-hafs-959,84,19,4640,6080,1.44,muhammad_siddiq_al_minshawi_murattal_hafs_959_s084a019_qalqalah.wav
saad-al-ghamdi-murattal-hafs-954,113,1,2000,3160,1.16,saad_al_ghamdi_murattal_hafs_954_s113a001_qalqalah.wav
saad-al-ghamdi-murattal-hafs-954,113,2,2130,2230,0.1,saad_al_ghamdi_murattal_hafs_954_s113a002_qalqalah.wav
saad-al-ghamdi-murattal-hafs-954,84,16,2240,3560,1.32,saad_al_ghamdi_murattal_hafs_954_s084a016_qalqalah.wav
saad-al-ghamdi-murattal-hafs-954,84,17,1480,2000,0.52,saad_al_ghamdi_murattal_hafs_954_s084a017_qalqalah.wav
saad-al-ghamdi-murattal-hafs-954,84,18,1160,1840,0.68,saad_al_ghamdi_murattal_hafs_954_s084a018_qalqalah.wav
saad-al-ghamdi-murattal-hafs-954,84,19,3080,4600,1.52,saad_al_ghamdi_murattal_hafs_954_s084a019_qalqalah.wav
saud-al-shuraim-murattal-hafs-960,113,1,1560,2120,0.56,saud_al_shuraim_murattal_hafs_960_s113a001_qalqalah.wav
saud-al-shuraim-murattal-hafs-960,113,2,1290,1390,0.1,saud_al_shuraim_murattal_hafs_960_s113a002_qalqalah.wav
saud-al-shuraim-murattal-hafs-960,84,16,1160,2160,1.0,saud_al_shuraim_murattal_hafs_960_s084a016_qalqalah.wav
saud-al-shuraim-murattal-hafs-960,84,17,1360,1920,0.56,saud_al_shuraim_murattal_hafs_960_s084a017_qalqalah.wav
saud-al-shuraim-murattal-hafs-960,84,18,1240,1960,0.72,saud_al_shuraim_murattal_hafs_960_s084a018_qalqalah.wav
saud-al-shuraim-murattal-hafs-960,84,19,2560,3400,0.84,saud_al_shuraim_murattal_hafs_960_s084a019_qalqalah.wav
yasser-al-dosari-murattal-hafs-961,113,1,1720,2760,1.04,yasser_al_dosari_murattal_hafs_961_s113a001_qalqalah.wav
yasser-al-dosari-murattal-hafs-961,113,2,1890,1990,0.1,yasser_al_dosari_murattal_hafs_961_s113a002_qalqalah.wav
yasser-al-dosari-murattal-hafs-961,84,16,2480,3640,1.16,yasser_al_dosari_murattal_hafs_961_s084a016_qalqalah.wav
yasser-al-dosari-murattal-hafs-961,84,17,1400,2000,0.6,yasser_al_dosari_murattal_hafs_961_s084a017_qalqalah.wav
yasser-al-dosari-murattal-hafs-961,84,18,1160,1920,0.76,yasser_al_dosari_murattal_hafs_961_s084a018_qalqalah.wav
yasser-al-dosari-murattal-hafs-961,84,19,3680,4760,1.08,yasser_al_dosari_murattal_hafs_961_s084a019_qalqalah.wav
